activityId,intermediateOutcomeId,activityText,outputPhrase,reviewStatus
ACT_FD5DE0D81F,PW_002_IO_04,Promote accountability mechanisms in stakeholder platforms,reached through promotion of accountability mechanisms in stakeholder platforms,REVIEW
ACT_D1DE5AE724,PW_003_IO_01,Train smallholders on resource mobilization using VSLA/SILC,trained in smallholders on resource mobilization using VSLA/SILC,REVIEW
ACT_9AC8A057A6,PW_003_IO_01,Partnership agreements/MOUs with financial service providers,supported through partnership agreements/MOUs with financial service providers,REVIEW
ACT_3F9047C6AF,PW_003_IO_01,Organize smallholders into effective self-help groups that enhance banks’ ability to provide financing for working capital and equipment,organised through smallholders into effective self-help groups that enhance banks’ ability to provide financing for working capital and equipment,REVIEW
ACT_3703646942,PW_003_IO_01,Formation of savings and loan groups,established for savings and loan groups,REVIEW
ACT_05054323A7,PW_003_IO_01,Provision of record books/passbooks,supported through provision of record books/passbooks,REVIEW
ACT_ED123B0850,PW_003_IO_01,"Provision of savings equipment (boxes, phones)","supported through provision of savings equipment (boxes, phones)",REVIEW
ACT_C7F0276D22,PW_003_IO_01,Link SHGs and associations to microfinance facilities,linked through sHGs and associations to microfinance facilities,REVIEW
ACT_AF4F51EC69,PW_003_IO_01,Facilitate mobile/digital financial services adoption,supported through mobile/digital financial services adoption,REVIEW
ACT_09413EE393,PW_003_IO_01,"Promote tailored financial products (e.g. seasonal credit, weather-indexed insurance, women/youth-friendly loans)","reached through promotion of tailored financial products (e.g. seasonal credit, weather-indexed insurance, women/youth-friendly loans)",REVIEW
ACT_6AB62AFE86,PW_003_IO_01,Build partnerships with fintech/agrifinance providers,provided through partnerships with fintech/agrifinance providers,REVIEW
ACT_571F006D84,PW_003_IO_02,Promote savings groups as an entry level,reached through promotion of savings groups as an entry level,REVIEW
ACT_45FDF64EEF,PW_003_IO_02,Train smallholders on financial literacy,trained in smallholders on financial literacy,REVIEW
ACT_0A5F41468A,PW_003_IO_02,Support the development and access to market information (promoted through ICT),supported through the development and access to market information (promoted through ICT),REVIEW
ACT_9E6A825B7D,PW_003_IO_02,Develop linkages/networks for smallholders to access niche markets,developed through linkages/networks for smallholders to access niche markets,REVIEW
ACT_238787D6E0,PW_003_IO_02,Establish guarantee funds or risk-sharing schemes with financial institutions,established for guarantee funds or risk-sharing schemes with financial institutions,REVIEW
ACT_3E6A795CD5,PW_003_IO_02,Facilitate collective borrowing models through cooperatives,supported through collective borrowing models through cooperatives,REVIEW
ACT_A9E307A9AA,PW_003_IO_02,Provide training for agri-enterprises on preparing bankable business plans,provided through training for agri-enterprises on preparing bankable business plans,REVIEW
ACT_429C4A4A86,PW_003_IO_03,Conduct financial literacy and household budgeting training,reached through financial literacy and household budgeting training,REVIEW
ACT_1FA7F04169,PW_003_IO_03,establish or strengthen savings and loan groups,established for or strengthen savings and loan groups,REVIEW
ACT_1F0DC236E6,PW_003_IO_03,link households to safe savings products,linked through households to safe savings products,REVIEW
ACT_3B9BA3C078,PW_003_IO_03,support asset-based savings options.,supported through asset-based savings options,REVIEW
ACT_12527DAD84,PW_003_IO_04,Provide coaching on productive investment,provided through coaching on productive investment,REVIEW
ACT_0D6C0B9CF4,PW_003_IO_04,link savings groups to financial service providers,linked through savings groups to financial service providers,REVIEW
ACT_E610C2A25B,PW_003_IO_04,support household financial planning and risk-management discussions.,supported through household financial planning and risk-management discussions,REVIEW
ACT_786EFFA53B,PW_004_IO_01,Conduct household budgeting and savings behaviour training,reached through household budgeting and savings behaviour training,REVIEW
ACT_0983137C0B,PW_004_IO_01,establish savings goals,established for savings goals,REVIEW
ACT_EFCF89D028,PW_004_IO_01,provide mentoring through groups.,provided through mentoring through groups,REVIEW
ACT_6CECA37100,PW_004_IO_02,Establish and strengthen savings and loan groups,established for and strengthen savings and loan groups,REVIEW
ACT_A8F8D512A6,PW_004_IO_02,link groups to financial service providers,linked through groups to financial service providers,REVIEW
ACT_91ABF67210,PW_004_IO_02,promote mobile money where feasible.,reached through promotion of mobile money where feasible,REVIEW
ACT_F703CA8ECE,PW_004_IO_03,"Promote household savings plans, emergency funds, and asset-based savings","reached through promotion of household savings plans, emergency funds, and asset-based savings",REVIEW
ACT_A492D5594E,PW_004_IO_03,provide financial coaching and peer accountability.,provided through financial coaching and peer accountability,REVIEW
ACT_72C70B4F6C,PW_004_IO_04,Support investment planning,supported through investment planning,REVIEW
ACT_65C37EDDD4,PW_004_IO_04,link savings to enterprise/agricultural investment,linked through savings to enterprise/agricultural investment,REVIEW
ACT_A4D38AF72A,PW_004_IO_04,promote emergency savings and risk-management planning.,reached through promotion of emergency savings and risk-management planning,REVIEW
ACT_FB50699293,PW_005_IO_01,Training on record-keeping and basic business management,trained in record-keeping and basic business management,REVIEW
ACT_15F3E1B980,PW_005_IO_01,Facilitate farmer groups / cooperatives for collective marketing,supported through farmer groups / cooperatives for collective marketing,REVIEW
ACT_EC3C59D545,PW_005_IO_01,"Link producers to traders, processors, and input suppliers","linked through producers to traders, processors, and input suppliers",REVIEW
ACT_6DC651764F,PW_005_IO_01,Support access to microfinance for small-scale livestock keepers,supported through access to microfinance for small-scale livestock keepers,REVIEW
ACT_14ED8A7912,PW_005_IO_01,"Develop value addition (milk chilling, cheese, egg grading, hides/leather processing)","developed through value addition (milk chilling, cheese, egg grading, hides/leather processing)",REVIEW
ACT_E857B50B39,PW_005_IO_01,"Explore certification/branding schemes (organic/free-range, quality assurance labels)","supported through explore certification/branding schemes (organic/free-range, quality assurance labels)",REVIEW
ACT_C7590F7127,PW_005_IO_02,"Promote improved livestock husbandry, feeding, breeding, and animal-health practices","reached through promotion of improved livestock husbandry, feeding, breeding, and animal-health practices",REVIEW
ACT_6AD3A607BD,PW_005_IO_02,support producer aggregation and links with livestock buyers and processors.,supported through producer aggregation and links with livestock buyers and processors,REVIEW
ACT_743C05925A,PW_006_IO_01,Train households on Pass on the Gift values,trained in households on Pass on the Gift values,REVIEW
ACT_61DD05E8E6,PW_006_IO_01,Train households on Pass on the Gift criteria,trained in households on Pass on the Gift criteria,REVIEW
ACT_13AF75A531,PW_006_IO_01,Train households on Pass on the Gift safeguarding,trained in households on Pass on the Gift safeguarding,REVIEW
ACT_13ED3C4860,PW_006_IO_01,Train households on Pass on the Gift transparency,trained in households on Pass on the Gift transparency,REVIEW
ACT_1C838FC38C,PW_006_IO_01,Train households on Pass on the Gift community accountability,trained in households on Pass on the Gift community accountability,REVIEW
ACT_825E9736F8,PW_006_IO_02,Facilitate transparent beneficiary selection,supported through transparent beneficiary selection,REVIEW
ACT_C98951B36D,PW_006_IO_02,Facilitate transfer ceremonies,supported through transfer ceremonies,REVIEW
ACT_DA71A3E6CA,PW_006_IO_02,Facilitate follow-up support,supported through follow-up support,REVIEW
ACT_F646BE4643,PW_006_IO_02,Facilitate technical support to recipients,supported through technical support to recipients,REVIEW
ACT_2AE319A7E0,PW_006_IO_03,Provide recipient follow-up,provided through recipient follow-up,REVIEW
ACT_5A47DE6561,PW_006_IO_03,Provide technical coaching,provided through technical coaching,REVIEW
ACT_671FC292E8,PW_006_IO_03,Provide peer learning,provided through peer learning,REVIEW
ACT_8D651A61A2,PW_006_IO_03,Provide animal-health or enterprise support,provided through animal-health or enterprise support,REVIEW
ACT_00E8E8A1D1,PW_006_IO_03,Provide linkage to groups/services,provided through linkage to groups/services,REVIEW
ACT_8BDCC217FB,PW_006_IO_04,Support monitoring of pass-on cycles,supported through monitoring of pass-on cycles,REVIEW
ACT_A2C555929B,PW_006_IO_04,Support community accountability,supported through community accountability,REVIEW
ACT_FF05930E2F,PW_006_IO_04,Support recipient mentoring,supported through recipient mentoring,REVIEW
ACT_0F342820C2,PW_006_IO_04,Support evidence capture of replication,supported through evidence capture of replication,REVIEW
ACT_8CEF7D2EDE,PW_007_IO_01,Vocational skill training,supported through vocational skill training,REVIEW
ACT_4267557863,PW_007_IO_01,Training on generation of business ideas,trained in generation of business ideas,REVIEW
ACT_FB6C451B2E,PW_007_IO_01,Training on business budgeting & financing,trained in business budgeting & financing,REVIEW
ACT_3D6EC92E09,PW_007_IO_01,Training on marketing in business,trained in marketing in business,REVIEW
ACT_D65D156388,PW_007_IO_01,Training on business records,trained in business records,REVIEW
ACT_005395B01E,PW_007_IO_01,Training on business planning,trained in business planning,REVIEW
ACT_7369424DA2,PW_007_IO_01,"Provision of starter kits (seeds, tools, fertilizer, irrigation equipment, etc.)",,AMBIGUOUS
ACT_87C12EF6A3,PW_007_IO_01,Facilitate access to microcredit / savings groups,"Target youth, women, and PWDs in training, access to financial services, and agri-enterprise management",REVIEW
ACT_FA73B6EBB0,PW_007_IO_01,Link households to value chains and buyers,Partnerships with private/public institutions for apprenticeship programs for youth,REVIEW
ACT_515E3C25ED,PW_007_IO_01,Digital literacy training for e-commerce and mobile banking,"Adopt assessment, training, and coaching methodology as a best practice (ALP)",REVIEW
ACT_7413C32C8B,PW_007_IO_02,Support livelihood diversification across farm and off-farm activities,"Training on: business ideas, budgeting & financing, marketing, records, planning",REVIEW
ACT_0530520E31,PW_007_IO_02,"provide vocational, entrepreneurship, and business-skills support","Access to shared resources/facilities (office space, equipment, admin support)",REVIEW
ACT_01877C8415,PW_007_IO_02,promote seasonal income planning.,"Technical support to cooperatives on management, governance, business strategy, financial management, product development",REVIEW
ACT_FC203C9C10,PW_007_IO_03,Promote household budgeting and financial planning,Undertake value chain analysis to determine potential products and value addition processes smallholders can easily engage in,REVIEW
ACT_2B944E2338,PW_007_IO_03,link income-generating activities to food-security planning,(no original activity listed),REVIEW
ACT_93DF3AEF32,PW_007_IO_03,strengthen savings groups and income diversification.,(as linked above),REVIEW
ACT_8060C49CFD,PW_008_IO_01,"Promote improved seeds, climate-smart and organic practices",(no original activity listed),REVIEW
ACT_1A7DCD304A,PW_008_IO_01,"provide farmer training, demonstration plots, and crop production planning support.",(no original activity listed),REVIEW
ACT_614CF946A4,PW_008_IO_02,Support productivity improvements,Evaluate SHG & establish CLA; Govt awareness on CLA role; Follow local legislation to register; Sensitization on stakeholders for safety,REVIEW
ACT_91C733711C,PW_008_IO_02,Support crop diversification,Use household dialogue to improve women’s control over income,REVIEW
ACT_CF113385A6,PW_008_IO_02,Support post-harvest management,Use savings groups to improve women’s control over income,REVIEW
ACT_FF116CD3EC,PW_008_IO_02,Support aggregation,Use enterprise support to improve women’s control over income,REVIEW
ACT_54CD40AD78,PW_008_IO_02,Support quality management,Use gender-transformative approaches to improve women’s control over income,REVIEW
ACT_E6E8A31C8C,PW_008_IO_03,Link producers to buyers,Farmer Field Schools & Demonstration Plots on species diversity,REVIEW
ACT_AD43D8DA1E,PW_008_IO_03,support aggregation and collective marketing,"Practice Mulching: Use crop residues or grass to cover soil, reduce erosion, and retain moisture.",REVIEW
ACT_A1396C6CDD,PW_008_IO_03,"improve grading, storage, and post-harvest handling.",Intercropping with nitrogen fixing crops such as beans or groundnuts to improve soil structure and fertility.,REVIEW
ACT_482BF285E8,PW_008_IO_04,Support productivity to improve net returns,Use hands-on learning and demos to showcase soil health practices.,REVIEW
ACT_1B93F8C869,PW_008_IO_04,Support surplus production to improve net returns,Use simple scorecards or mobile tools to track progress.,REVIEW
ACT_E248BA9FFB,PW_008_IO_04,Support market linkage to improve net returns,Monitor diet diversity separately for women of reproductive age and children <5,REVIEW
ACT_DC1847F8D8,PW_008_IO_04,Support cost-control to improve net returns,"integrate nutrition education on eggs, milk, meat, and other animal-source foods.",REVIEW
ACT_65133B68AC,PW_009_IO_01,Support livelihood diversification for sustained income growth,"Community workshops on benefits of organic inputs (soil health, productivity, reduced chemical exposure)",REVIEW
ACT_484A934ECE,PW_009_IO_01,Support enterprise development for sustained income growth,"Highlight improvements in soil structure, crop health, and yields over time",REVIEW
ACT_502B1252BD,PW_009_IO_01,Support market linkages for sustained income growth,Track cost savings and income benefits from organic use to reinforce uptake,REVIEW
ACT_BCE590C055,PW_009_IO_01,Support financial planning for sustained income growth,"Integrated Pest Management (biological, cultural, mechanical, and safe chemical methods)",REVIEW
ACT_A6CF05BF35,PW_009_IO_02,Strengthen savings groups,"Identify and train lead farmers, peer educators, CAHWs, agro-dealers, and community extension agents",REVIEW
ACT_AFAF348DEC,PW_009_IO_02,support household budgeting,Early warning systems for drought/disease outbreaks shared with livestock keepers,REVIEW
ACT_E836F11E10,PW_009_IO_02,"promote savings goals for emergencies, productive investment, and lean seasons.","Disseminate localized weather forecasts via SMS, radio, or community meetings.",REVIEW
ACT_CA1B2C36DF,PW_009_IO_03,Support livelihood diversification,"Use drama, songs, posters, and radio to spread messages.",REVIEW
ACT_F8CEC5600F,PW_009_IO_03,Support crop and livestock diversification,"Ensure women, youth, and marginalized groups hold leadership positions in governance structures",REVIEW
ACT_5F3F9069F4,PW_009_IO_03,Support value addition,supported through value addition,REVIEW
ACT_C5B44D52BF,PW_009_IO_03,Support off-farm enterprise development,supported through off-farm enterprise development,REVIEW
ACT_F50559F1A3,PW_009_IO_03,Support vocational skills,supported through vocational skills,REVIEW
ACT_3D029B70EE,PW_009_IO_04,Support savings,supported through savings,REVIEW
ACT_16E1859901,PW_009_IO_04,Support risk management,supported through risk management,REVIEW
ACT_B7C125D104,PW_009_IO_04,Support income smoothing,supported through income smoothing,REVIEW
ACT_8559D460E7,PW_009_IO_04,Support social support mechanisms,supported through social support mechanisms,REVIEW
ACT_5F542A6561,PW_009_IO_04,Support shock-response planning,supported through shock-response planning,REVIEW
ACT_42E63F80CC,PW_010_IO_01,"Target youth, women, and PWDs in training, access to financial services, and agri-enterprise management","trainined in gaining access to financial services, and agri-enterprise management",USER_REVIEWED
ACT_84471A9D18,PW_010_IO_01,Encourage inclusion in leadership and management of all supported agri-enterprises,reached through promotion of inclusion in leadership and management of all supported agri-enterprises,REVIEW
ACT_ADAFCC662A,PW_010_IO_01,Partnerships with private/public institutions for apprenticeship programs for youth,with private/public institutions for apprenticeship programs for youth,USER_REVIEWED
ACT_D47A9AF8E0,PW_010_IO_01,"Develop and adopt specific guidelines for gender, PWDs, youth, and refugees","developed through and adopt specific guidelines for gender, PWDs, youth, and refugees",REVIEW
ACT_481570B324,PW_010_IO_01,Establish mentorship programs pairing marginalised entrepreneurs with experienced business leaders,established for mentorship programs pairing marginalised entrepreneurs with experienced business leaders,REVIEW
ACT_94F61DA7EA,PW_010_IO_01,Facilitate affirmative procurement or preferential contracting for inclusive enterprises,supported through affirmative procurement or preferential contracting for inclusive enterprises,REVIEW
ACT_F53D6CAD2B,PW_010_IO_01,Support accessible technologies and infrastructure for PWD-led enterprises,supported through accessible technologies and infrastructure for PWD-led enterprises,REVIEW
ACT_8BCB5B5D9F,PW_011_IO_01,"Adopt assessment, training, and coaching methodology as a best practice (ALP)","adopting assessment, training, and coaching methodology as a best practice (ALP)",USER_REVIEWED
ACT_FE4C162857,PW_011_IO_01,"Networking with investors, partners, other entrepreneurs","supported through networking with investors, partners, other entrepreneurs",REVIEW
ACT_2E424B555D,PW_011_IO_01,"Financial support via grants, loans, or investment opportunities","supported through financial support via grants, loans, or investment opportunities",REVIEW
ACT_BB49D477C3,PW_011_IO_01,"Training on: business ideas, budgeting & financing, marketing, records, planning","trained on: business ideas, budgeting & financing, marketing, records, planning",USER_REVIEWED
ACT_3A84FF4560,PW_011_IO_01,"Access to shared resources/facilities (office space, equipment, admin support)","given access to shared resources/facilities (office space, equipment, admin support)",USER_REVIEWED
ACT_71D45928F0,PW_011_IO_01,Mentorship guidance from experienced entrepreneurs,supported through mentorship guidance from experienced entrepreneurs,REVIEW
ACT_636B32EBD4,PW_011_IO_01,Develop digital platforms for market linkages & business services,developed through digital platforms for market linkages & business services,REVIEW
ACT_7B526F9081,PW_011_IO_01,Establish peer-to-peer learning groups / business clubs,established for peer-to-peer learning groups / business clubs,REVIEW
ACT_C56B3BA361,PW_011_IO_01,Encourage incubation of youth-led enterprises,reached through promotion of incubation of youth-led enterprises,REVIEW
ACT_0B1C2FB1FD,PW_011_IO_02,Business diagnostics,supported through business diagnostics,REVIEW
ACT_88A9420A1D,PW_011_IO_02,Business registration/formalization,supported through business registration/formalization,REVIEW
ACT_5A831A7F7B,PW_011_IO_02,"Technical support to cooperatives on management, governance, business strategy, financial management, product development","receive technical support on management, governance, business strategy, financial management, product development",USER_REVIEWED
ACT_D11985A474,PW_011_IO_02,Exchange visits for knowledge/experience sharing,supported through exchange visits for knowledge/experience sharing,REVIEW
ACT_4931AC9FBD,PW_011_IO_02,Promote financial and insurance models to support smallholders & agri-enterprises,reached through promotion of financial and insurance models to support smallholders & agri-enterprises,REVIEW
ACT_A00174B591,PW_011_IO_02,Facilitate compliance with legal/regulatory frameworks,supported through compliance with legal/regulatory frameworks,REVIEW
ACT_0C1C3480F1,PW_011_IO_02,"Introduce ICT-based management tools (e.g. digital recordkeeping, cooperative MIS)","reached through introduction of iCT-based management tools (e.g. digital recordkeeping, cooperative MIS)",REVIEW
ACT_91DEF27B29,PW_011_IO_02,Support gender-inclusive leadership within cooperatives/enterprises,supported through gender-inclusive leadership within cooperatives/enterprises,REVIEW
ACT_2FFFADA448,PW_012_IO_01,Undertake value chain analysis to determine potential products and value addition processes smallholders can easily engage in,Undertake value chain analysis to determine potential products and value addition processes smallholders can easily engage in,USER_REVIEWED
ACT_7B79060799,PW_012_IO_01,Build the capacity of smallholder farmers to carry out value addition,provided through the capacity of smallholder farmers to carry out value addition,REVIEW
ACT_A3B7C95EAE,PW_012_IO_01,Establish agroprocessing and pilot demonstration units,established for agroprocessing and pilot demonstration units,REVIEW
ACT_51A5DC5AFB,PW_012_IO_01,Develop and upscale appropriate technologies for value addition,developed through and upscale appropriate technologies for value addition,REVIEW
ACT_6B703ECEAB,PW_012_IO_01,"Provide supporting services, incentives and infrastructure for value addition","provided through supporting services, incentives and infrastructure for value addition",REVIEW
ACT_1E65835CDF,PW_012_IO_01,"Provide local processing, storage and packaging solutions","provided through local processing, storage and packaging solutions",REVIEW
ACT_8FE92467CC,PW_012_IO_01,"Facilitate quality assurance, standards, and certification for value-added products (organic, Fairtrade, GAP)","supported through quality assurance, standards, and certification for value-added products (organic, Fairtrade, GAP)",REVIEW
ACT_AF0D31F205,PW_012_IO_01,Support market linkages specifically for value-added products,supported through market linkages specifically for value-added products,REVIEW
ACT_C9CBBC2AE4,PW_012_IO_01,Promote renewable/clean energy solutions for small-scale processing,reached through promotion of renewable/clean energy solutions for small-scale processing,REVIEW
ACT_FCAA1A9290,PW_013_IO_01,"Provide vocational, technical, and employability training","provided through vocational, technical, and employability training",REVIEW
ACT_02721645F0,PW_013_IO_01,link training to local agriculture and value-chain labour demand,linked through training to local agriculture and value-chain labour demand,REVIEW
ACT_151C0F96A6,PW_013_IO_01,support CV/interview/business-readiness skills.,supported through cV/interview/business-readiness skills,REVIEW
ACT_2EF3AA20C8,PW_013_IO_02,Facilitate apprenticeships and placements with agribusinesses,supported through apprenticeships and placements with agribusinesses,REVIEW
ACT_E3B68A75C4,PW_013_IO_02,"link participants to employers, producer enterprises, processors, and service providers","linked through participants to employers, producer enterprises, processors, and service providers",REVIEW
ACT_0519744D05,PW_013_IO_02,support start-up kits where appropriate.,supported through start-up kits where appropriate,REVIEW
ACT_F00BDA91ED,PW_013_IO_03,Provide follow-up mentoring,provided through follow-up mentoring,REVIEW
ACT_8E00188F45,PW_013_IO_03,engage employers on decent work conditions,engaged through employers on decent work conditions,REVIEW
ACT_5C59699981,PW_013_IO_03,"support worker retention, fair pay, safe working conditions, and access to services.","supported through worker retention, fair pay, safe working conditions, and access to services",REVIEW
ACT_58BA8A50FA,PW_014_IO_01,(no original activity listed),,AMBIGUOUS
ACT_6E8FA0CF93,PW_014_IO_01,Staff training on disability budgeting/tracking,supported through staff training on disability budgeting/tracking,REVIEW
ACT_876FCB89FA,PW_014_IO_01,accountability mechanisms,supported through accountability mechanisms,REVIEW
ACT_CCFD90A58C,PW_014_IO_01,DPO involvement,supported through dPO involvement,REVIEW
ACT_0445C4540F,PW_014_IO_02,Linkage with disability focused organization,supported through linkage with disability focused organization,REVIEW
ACT_B173889369,PW_014_IO_02,Radio/theatre with PWD role models,supported through radio/theatre with PWD role models,REVIEW
ACT_AAFCE4182C,PW_014_IO_02,leader engagement,supported through leader engagement,REVIEW
ACT_BD284C9006,PW_014_IO_03,Training on disability programming,trained in disability programming,REVIEW
ACT_D48AEC6558,PW_014_IO_03,Peer support,supported through peer support,REVIEW
ACT_AFCEEE397C,PW_014_IO_03,accessibility audits of FFS/demo plots,supported through accessibility audits of FFS/demo plots,REVIEW
ACT_4E91CBA2F4,PW_014_IO_04,ACAP training on social inclusion and disability programming,supported through aCAP training on social inclusion and disability programming,REVIEW
ACT_40F5613F83,PW_014_IO_04,Assistive/adaptive tech,supported through assistive/adaptive tech,REVIEW
ACT_895EFE8F0A,PW_014_IO_04,linkages to inclusive suppliers/extension,supported through linkages to inclusive suppliers/extension,REVIEW
ACT_EAF4AC2BF3,PW_015_IO_01,(as linked above),,AMBIGUOUS
ACT_70A1F5A85C,PW_015_IO_01,Promote women’s participation in governance/civic platforms,reached through promotion of women’s participation in governance/civic platforms,REVIEW
ACT_96AB21CDC1,PW_015_IO_01,community-managed childcare,supported through community-managed childcare,REVIEW
ACT_BE54D4A1B9,PW_016_IO_01,(no original activity listed),,AMBIGUOUS
ACT_BBAC7B122A,PW_016_IO_01,Work with land registries on joint titling,engaged through land registries on joint titling,REVIEW
ACT_C1886C1BFB,PW_016_IO_01,household dialogues on asset decisions,supported through household dialogues on asset decisions,REVIEW
ACT_157A875AB9,PW_016_IO_01,incentives for joint accounts,supported through incentives for joint accounts,REVIEW
ACT_D6C72EC63D,PW_016_IO_01,asset-mapping/certificate campaigns,supported through asset-mapping/certificate campaigns,REVIEW
ACT_77A9F72C7A,PW_016_IO_02,Leadership training,supported through leadership training,REVIEW
ACT_08DF3D20BD,PW_016_IO_02,Male-engagement programs,supported through male-engagement programs,REVIEW
ACT_D1405C3FB1,PW_016_IO_02,community theatre/radio role models,supported through community theatre/radio role models,REVIEW
ACT_7883B35908,PW_016_IO_02,safe spaces for girls/women,supported through safe spaces for girls/women,REVIEW
ACT_4DA42C9517,PW_016_IO_02,gender-norm scorecards,supported through gender-norm scorecards,REVIEW
ACT_553B81CB40,PW_016_IO_03,Promote legal rights awareness,reached through promotion of legal rights awareness,REVIEW
ACT_0EC3905A36,PW_016_IO_03,Promote household dialogue on joint ownership,reached through promotion of household dialogue on joint ownership,REVIEW
ACT_85F861DADF,PW_016_IO_03,Promote community engagement with customary leaders,reached through promotion of community engagement with customary leaders,REVIEW
ACT_1BA09F24B3,PW_016_IO_03,Promote documentation of joint asset ownership where possible,reached through promotion of documentation of joint asset ownership where possible,REVIEW
ACT_E3CA6F9A6D,PW_016_IO_04,Support women’s participation in savings groups,supported through women’s participation in savings groups,REVIEW
ACT_E1E237397F,PW_016_IO_04,link women to mobile money/banking services,linked through women to mobile money/banking services,REVIEW
ACT_9EA253AC82,PW_016_IO_04,promote household dialogue on financial decision-making.,reached through promotion of household dialogue on financial decision-making,REVIEW
ACT_974E59C5BB,PW_017_IO_01,Envisioning training,supported through envisioning training,REVIEW
ACT_C4A0511F69,PW_017_IO_01,Health insurance enrollment,supported through health insurance enrollment,REVIEW
ACT_5B61CECB17,PW_017_IO_01,financial inclusion linkages,supported through financial inclusion linkages,REVIEW
ACT_F5AD4819D6,PW_017_IO_01,school/health partnerships,supported through school/health partnerships,REVIEW
ACT_F8E1092C79,PW_017_IO_01,scholarships/bursaries,supported through scholarships/bursaries,REVIEW
ACT_4C78553C16,PW_017_IO_02,(no original activity listed),,AMBIGUOUS
ACT_10B013E10E,PW_017_IO_02,Establish community childcare,established for community childcare,REVIEW
ACT_1FADA0CD70,PW_017_IO_02,advocate for local budget lines,supported through advocate for local budget lines,REVIEW
ACT_02A2F53523,PW_017_IO_02,train/accredit providers,supported through train/accredit providers,REVIEW
ACT_17FC70179A,PW_017_IO_02,provide childcare during trainings/market days,provided through childcare during trainings/market days,REVIEW
ACT_3C84273CD7,PW_018_IO_01,"IPV, GBV and HTP training; Community safeguarding approach","supported through iPV, GBV and HTP training; Community safeguarding approach",REVIEW
ACT_3737BAFC2E,PW_018_IO_01,Awareness for men & women on referral pathways,supported through awareness for men & women on referral pathways,REVIEW
